session_id,timestamp,event,length,source_pcap
127.0.0.1_127.0.0.1_1.0_56326.0_6,1770711037.221916,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_10.0_39452.0_6,1770711037.226967,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_100.0_49742.0_6,1770711037.227208,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_1000.0_48912.0_6,1770711037.227094,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_101.0_41148.0_6,1770711037.208055,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_102.0_56078.0_6,1770711037.226362,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_103.0_38376.0_6,1770711037.219414,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_104.0_38806.0_6,1770711037.226545,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_105.0_60730.0_6,1770711037.211585,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_106.0_36978.0_6,1770711037.227122,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_107.0_35022.0_6,1770711037.224468,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_108.0_57752.0_6,1770711037.219692,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_109.0_44342.0_6,1770711037.221824,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_11.0_40004.0_6,1770711037.227352,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_110.0_35458.0_6,1770711037.206967,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_111.0_41142.0_6,1770711037.207187,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_112.0_45966.0_6,1770711037.216859,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_113.0_38760.0_6,1770711037.207053,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_114.0_38392.0_6,1770711037.227221,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_115.0_42608.0_6,1770711037.207826,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_116.0_47798.0_6,1770711037.209744,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_117.0_33878.0_6,1770711037.224656,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_118.0_32842.0_6,1770711037.216082,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_119.0_49130.0_6,1770711037.22639,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_12.0_40668.0_6,1770711037.221334,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_120.0_46418.0_6,1770711037.210481,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_121.0_34040.0_6,1770711037.214683,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_122.0_57478.0_6,1770711037.222837,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_123.0_60046.0_6,1770711037.209357,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_124.0_51220.0_6,1770711037.218342,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_125.0_36292.0_6,1770711037.213682,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_126.0_39200.0_6,1770711037.222063,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_127.0_43052.0_6,1770711037.209815,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_128.0_57148.0_6,1770711037.218784,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_129.0_47240.0_6,1770711037.212343,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_13.0_53034.0_6,1770711037.223955,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_130.0_54146.0_6,1770711037.220567,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_131.0_46280.0_6,1770711037.213618,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_132.0_33122.0_6,1770711037.226419,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_133.0_54278.0_6,1770711037.210064,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_134.0_53268.0_6,1770711037.211168,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_135.0_42188.0_6,1770711037.206933,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_136.0_49758.0_6,1770711037.210553,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_137.0_52312.0_6,1770711037.213544,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_138.0_32970.0_6,1770711037.212538,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_139.0_42142.0_6,1770711037.207103,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_14.0_48446.0_6,1770711037.209974,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_140.0_33982.0_6,1770711037.219861,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_141.0_42300.0_6,1770711037.226064,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_142.0_39868.0_6,1770711037.209454,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_143.0_36308.0_6,1770711037.207086,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_144.0_43628.0_6,1770711037.220897,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_145.0_42588.0_6,1770711037.208127,SMALL_TRANSFER,60,scan_like.pcap
127.0.0.1_127.0.0.1_146.0_39634.0_6,1770711037.221542,SMALL_TRANSFER,60,scan_like.pcap
